title,link,published,summary
"Web3 Gamer: Zuckerberg’s metaverse losses, NFT game on Discord, Gods Unchained hot take",https://cointelegraph.com/magazine/web3-gamer-mark-zuckerbergs-metaverse-losses-nft-game-discord-gods-unchained-hot-take/,"Thu, 03 Aug 2023 14:48:43 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://cointelegraph.com/magazine/wp-content/uploads/2023/08/magazine-web-3-gaming2-scaled.jpg"" /></p><p>Instagram CEO Zuckerberg’s $40B metaverse losses, AI-powered NFT RPG on Discord, new Web3 eSports platform and a hot take on Gods Unchained.</p>"
Tel Aviv Stock Exchange to offer crypto services via Fireblocks pact,https://cointelegraph.com/news/crypto-fireblocks-tel-aviv-stock-exchange-to-offer-crypto-services-via-fireblocks-pact,"Thu, 03 Aug 2023 11:27:40 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/f197cf6f-badf-43b1-a1bf-be67fac8d688.JPG"" /></p><p>Israel’s only public stock exchange is preparing to offer new regulated cryptocurrency services through another partnership with Fireblocks. </p>"
Hong Kong debuts retail crypto trading with HashKey and OSL,https://cointelegraph.com/news/crypto-hong-kong-debuts-retail-crypto-trading-with-hash-key-exchange,"Thu, 03 Aug 2023 08:52:13 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/fe75c413-0731-4eac-926c-9f77129ca18f.jpg"" /></p><p>HashKey and OSL are among the first licensed exchanges to offer cryptocurrency trading for non-professional investors in Hong Kong.</p>"
MicroStrategy to stay on Bitcoin course even if spot ETFs approved: Saylor,https://cointelegraph.com/news/microstrategy-bitcoin-strategy-remain-despite-etf-approval,"Thu, 03 Aug 2023 05:07:49 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/e3901c71-f7d5-4846-b776-99dc722e9131.jpg"" /></p><p>Michael Saylor compared his firm to a “sportscar,” whereas a spot ETF will be like a “supertanker” when it comes to giving investors Bitcoin exposure.</p>"
"KPMG touts ESG benefits from Bitcoin, counters misperceptions in new report",https://cointelegraph.com/news/kpmg-touts-esg-benefits-bitcoin-counters-misperceptions-new-report,"Wed, 02 Aug 2023 23:00:07 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/31343a29-e004-4149-a789-361653cd7334.jpg"" /></p><p>The report compares Bitcoin energy usage to that of clothes dryers (equal) and its emissions to those of manure (much less) in a slight but readable document.</p>"
"Price analysis 8/2: BTC, ETH, BNB, XRP, DOGE, ADA, SOL, MATIC, LTC, DOT",https://cointelegraph.com/news/price-analysis-8-2-btc-eth-bnb-xrp-doge-ada-sol-matic-ltc-dot,"Wed, 02 Aug 2023 19:07:55 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/a3c81a7e-8f2b-4add-ad33-431309b66c70.jpg"" /></p><p>Bitcoin is witnessing a strong battle between the bulls and the bears, with the sellers currently holding a slight edge.</p>"
Why is Bitcoin price stuck?,https://cointelegraph.com/news/why-is-bitcoin-price-stuck,"Wed, 02 Aug 2023 15:31:39 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-05/afc8ec08-4768-417a-a371-a46442344ea8.jpg"" /></p><p>Bitcoin is a volatile asset, but BTC price can stay flat for days, weeks and even months for various reasons.</p>"
Deposit risk: What do crypto exchanges really do with your money?,https://cointelegraph.com/magazine/deposit-risk-crypto-exchanges-money/,"Wed, 02 Aug 2023 14:30:00 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://cointelegraph.com/magazine/wp-content/uploads/2023/08/Is-decentralized-blockchain-gaming-even-possible-scaled.jpeg"" /></p><p>While depositing may be easy, what some crypto exchanges do with your money behind the scenes can range from concerning to criminal.</p>"
ETF analyst raises spot Bitcoin ETF approval chances in the US to 65%,https://cointelegraph.com/news/spot-bitcoin-etf-approval-chances-65,"Wed, 02 Aug 2023 14:11:24 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/3fa9e4f7-bf1b-4217-be46-561440409cd6.jpg"" /></p><p>The ETF analyst predicted that recent developments in the Ripple vs. SEC case and the upcoming Grayscale lawsuit would be crucial to the first spot Bitcoin ETF approval. </p>"
"Ether ETFs pending — Grayscale, VanEck and others file SEC applications",https://cointelegraph.com/news/asset-managers-file-ethereum-futures-etf-applications,"Wed, 02 Aug 2023 11:58:53 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/73187c87-db37-4ef7-b5ba-0dea2d4c3e52.jpg"" /></p><p>A handful of United States asset managers have filed fresh applications to launch ETH futures ETFs. </p>"
Bitcoin bulls falter after BTC price briefly spikes through $30K,https://cointelegraph.com/news/bitcoin-btc-price-briefly-spikes-30k,"Wed, 02 Aug 2023 10:41:41 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/4c3e2f68-bc1d-41d8-b591-8cbfb8d005ae.jpg"" /></p><p>BTC’s price strength attempts a comeback, but bulls run out of steam after briefly storming through key resistance levels.</p>"
"Bitcoin Lightning on Coinbase agenda, Brian Armstrong tells Jack Dorsey",https://cointelegraph.com/news/bitcoin-lightning-on-coinbase-agenda-brian-armstrong-to-jack-dorsey,"Wed, 02 Aug 2023 09:13:32 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/fb8f1538-bd01-4b56-be73-58e8dbe434ca.jpg"" /></p><p>Armstrong confirmed that Coinbase was looking into adding support for the Bitcoin Lightning Network and reassured its support for Bitcoin payments.</p>"
Bitcoin Ordinals team launches nonprofit to grow protocol development,https://cointelegraph.com/news/bitcoin-ordinals-non-profit-open-ordinals-institute,"Wed, 02 Aug 2023 06:23:06 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/1d231eef-d53a-491b-8144-948f51de2293.jpg"" /></p><p>The Open Ordinals Institute aims to bolster the protocol’s future development as Ordinals inscriptions hit a milestone of 21 million.</p>"
